Dataset Name,Tree Accuracy,Tree Precision,Tree Recall,Tree F1 Score,Tree Clean Auc,Tree Clean Accuracy,Tree Clean Precision,Tree Clean Recall,Tree Clean F1 Score,Tree Clean Auc,DNN Accuracy,DNN Precision,DNN Recall,DNN F1 Score,DNN Auc
null60,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9490738661036491,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9490738661036491,0.8394886363636364,0.0,0.0,0.0,0.5
outlier60,0.9758522727272727,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9501220370453558,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9501220370453558,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent60,0.9730113636363636,0.9196428571428571,0.911504424778761,0.9155555555555556,0.9503466451042929,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9503466451042929,0.8394886363636364,0.0,0.0,0.0,0.5
all60,0.9630681818181818,0.9393939393939394,0.8230088495575221,0.8773584905660378,0.9098198643367323,0.9474431818181818,0.8392857142857143,0.831858407079646,0.8355555555555556,0.9098198643367323,0.8394886363636364,0.0,0.0,0.0,0.5
on60,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9497476902804605,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9497476902804605,0.8394886363636364,0.0,0.0,0.0,0.5
oi60,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9505712531632301,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9505712531632301,0.8394886363636364,0.0,0.0,0.0,0.5
in60,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9854528847161702,0.9644886363636364,0.9313725490196079,0.8407079646017699,0.8837209302325582,0.9854528847161702,0.8394886363636364,0.0,0.0,0.0,0.5
null70,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9482503032208794,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9482503032208794,0.8394886363636364,0.0,0.0,0.0,0.5
outlier70,0.9630681818181818,0.9223300970873787,0.8407079646017699,0.8796296296296297,0.9112348951080365,0.9630681818181818,0.9223300970873787,0.8407079646017699,0.8796296296296297,0.9112348951080365,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
inconsistent70,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9478310348441968,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9478310348441968,0.8394886363636364,0.0,0.0,0.0,0.5
